Term,count,Term Frequency,IDF,Score
stones,3,0.025,1.67807,0.0419518
stop,1,0.00833333,1.67807,0.0139839
streambeds,2,0.0166667,1.67807,0.0279679
streams,4,0.0333333,1.67807,0.0559357
stretch,1,0.00833333,2.41504,0.0201253
student,1,0.00833333,1.67807,0.0139839
survey,1,0.00833333,1.67807,0.0139839
survival,1,0.00833333,1.67807,0.0139839
tacit,1,0.00833333,1.67807,0.0139839
taking,1,0.00833333,1.67807,0.0139839
thanchi,1,0.00833333,2.41504,0.0201253
tracts,1,0.00833333,1.67807,0.0139839
tributaries,1,0.00833333,1.67807,0.0139839
trucks,1,0.00833333,2.41504,0.0201253
turn,1,0.00833333,2.41504,0.0201253
ultimately,1,0.00833333,1.67807,0.0139839
understand,1,0.00833333,1.41504,0.011792
understood,1,0.00833333,1.67807,0.0139839
upazila,2,0.0166667,2.41504,0.0402506
upazilas,1,0.00833333,1.67807,0.0139839
violation,1,0.00833333,2.41504,0.0201253
﻿a,1,0.00833333,3,0.025
File2
activity,1,0.1,1.41504,0.141504
biodiversity,1,0.1,1.41504,0.141504
construction,1,0.1,1.41504,0.141504
cost,1,0.1,1.41504,0.141504
development,1,0.1,1.41504,0.141504
livelihoods,1,0.1,1.41504,0.141504
local,1,0.1,1.41504,0.141504
road,1,0.1,1.41504,0.141504
understand,1,0.1,1.41504,0.141504
﻿we,1,0.1,4,0.4
File3
12,1,0.00961538,1.67807,0.0161353
200,1,0.00961538,1.67807,0.0161353
activity,3,0.0288462,1.41504,0.0408184
administration,1,0.00961538,1.67807,0.0161353
american,1,0.00961538,3,0.0288462
approval,1,0.00961538,1.67807,0.0161353
bangladesh,1,0.00961538,1.67807,0.0161353
behemoth,1,0.00961538,3,0.0288462
biodiversity,1,0.00961538,1.41504,0.0136061
chittagong,1,0.00961538,1.67807,0.0161353
cohorts,1,0.00961538,1.67807,0.0161353
communities,2,0.0192308,1.67807,0.0322706
complex,1,0.00961538,3,0.0288462
conducted,1,0.00961538,1.67807,0.0161353
conflict,1,0.00961538,3,0.0288462
consistently,1,0.00961538,3,0.0288462
construction,1,0.00961538,1.41504,0.0136061
control,1,0.00961538,3,0.0288462
corrupt,1,0.00961538,1.67807,0.0161353
cost,1,0.00961538,1.41504,0.0136061
council,1,0.00961538,1.67807,0.0161353
damaging,1,0.00961538,1.67807,0.0161353
decision-making,1,0.00961538,3,0.0288462
depend,1,0.00961538,1.67807,0.0161353
dependent,1,0.00961538,1.67807,0.0161353
development,1,0.00961538,1.41504,0.0136061
driver,1,0.00961538,3,0.0288462
drying,1,0.00961538,1.67807,0.0161353
east,1,0.00961538,3,0.0288462
economy,1,0.00961538,3,0.0288462
effects,1,0.00961538,1.67807,0.0161353
eisenhower,1,0.00961538,3,0.0288462
eleven,1,0.00961538,1.67807,0.0161353
expect,1,0.00961538,1.19265,0.0114677
facilitating,1,0.00961538,1.67807,0.0161353
farewell,1,0.00961538,3,0.0288462
feed,1,0.00961538,1.67807,0.0161353
fishing,1,0.00961538,1.67807,0.0161353
flow,1,0.00961538,1.67807,0.0161353
hill,2,0.0192308,1.67807,0.0322706
illegal,1,0.00961538,1.67807,0.0161353
illicit,1,0.00961538,1.67807,0.0161353
immediately,1,0.00961538,1.67807,0.0161353
important,1,0.00961538,3,0.0288462
increased,1,0.00961538,3,0.0288462
irrigation,1,0.00961538,1.67807,0.0161353
livelihoods,1,0.00961538,1.41504,0.0136061
local,2,0.0192308,1.41504,0.0272123
made,1,0.00961538,1.67807,0.0161353
marma,1,0.00961538,1.67807,0.0161353
middle,1,0.00961538,3,0.0288462
military-industrial,1,0.00961538,3,0.0288462
miners,1,0.00961538,1.67807,0.0161353
mining,1,0.00961538,1.67807,0.0161353
obvious,1,0.00961538,1.67807,0.0161353
officials,1,0.00961538,1.67807,0.0161353
people,2,0.0192308,1.67807,0.0322706
peril,1,0.00961538,1.67807,0.0161353
pervasive,1,0.00961538,3,0.0288462
place,2,0.0192308,1.67807,0.0322706
powers,1,0.00961538,3,0.0288462
practice,1,0.00961538,1.67807,0.0161353
public,1,0.00961538,1.67807,0.0161353
put,2,0.0192308,1.67807,0.0322706
relentless,1,0.00961538,1.67807,0.0161353
removal,1,0.00961538,1.67807,0.0161353
river,1,0.00961538,1.67807,0.0161353
road,1,0.00961538,1.41504,0.0136061
running,1,0.00961538,3,0.0288462
sangu,1,0.00961538,1.67807,0.0161353
sanitation,1,0.00961538,1.67807,0.0161353
state,1,0.00961538,3,0.0288462
stone,2,0.0192308,1.67807,0.0322706
stones,2,0.0192308,1.67807,0.0322706
stop,1,0.00961538,1.67807,0.0161353
streambeds,2,0.0192308,1.67807,0.0322706
streams,2,0.0192308,1.67807,0.0322706
strong,1,0.00961538,3,0.0288462
student,1,0.00961538,1.67807,0.0161353
survey,1,0.00961538,1.67807,0.0161353
survival,1,0.00961538,1.67807,0.0161353
tacit,1,0.00961538,1.67807,0.0161353
taking,1,0.00961538,1.67807,0.0161353
tracts,1,0.00961538,1.67807,0.0161353
tributaries,1,0.00961538,1.67807,0.0161353
ultimately,1,0.00961538,1.67807,0.0161353
understand,1,0.00961538,1.41504,0.0136061
understood,1,0.00961538,1.67807,0.0161353
upazilas,1,0.00961538,1.67807,0.0161353
warned,1,0.00961538,3,0.0288462
ways,1,0.00961538,3,0.0288462
﻿a,1,0.00961538,3,0.0288462
File4
12,1,0.00970874,1.67807,0.016292
200,1,0.00970874,1.67807,0.016292
activity,3,0.0291262,1.41504,0.0412147
administration,1,0.00970874,1.67807,0.016292
american,1,0.00970874,3,0.0291262
approval,1,0.00970874,1.67807,0.016292
bangladesh,1,0.00970874,1.67807,0.016292
behemoth,1,0.00970874,3,0.0291262
biodiversity,1,0.00970874,1.41504,0.0137382
chittagong,1,0.00970874,1.67807,0.016292
cohorts,1,0.00970874,1.67807,0.016292
communities,2,0.0194175,1.67807,0.0325839
complex,1,0.00970874,3,0.0291262
conducted,1,0.00970874,1.67807,0.016292
conflict,1,0.00970874,3,0.0291262
consistently,1,0.00970874,3,0.0291262
construction,1,0.00970874,1.41504,0.0137382
control,1,0.00970874,3,0.0291262
corrupt,1,0.00970874,1.67807,0.016292
cost,1,0.00970874,1.41504,0.0137382
council,1,0.00970874,1.67807,0.016292
damaging,1,0.00970874,1.67807,0.016292
decision-making,1,0.00970874,3,0.0291262
depend,1,0.00970874,1.67807,0.016292
dependent,1,0.00970874,1.67807,0.016292
development,1,0.00970874,1.41504,0.0137382
driver,1,0.00970874,3,0.0291262
drying,1,0.00970874,1.67807,0.016292
east,1,0.00970874,3,0.0291262
economy,1,0.00970874,3,0.0291262
effects,1,0.00970874,1.67807,0.016292
eisenhower,1,0.00970874,3,0.0291262
eleven,1,0.00970874,1.67807,0.016292
expect,1,0.00970874,1.19265,0.0115791
facilitating,1,0.00970874,1.67807,0.016292
farewell,1,0.00970874,3,0.0291262
feed,1,0.00970874,1.67807,0.016292
fishing,1,0.00970874,1.67807,0.016292
flow,1,0.00970874,1.67807,0.016292
hill,2,0.0194175,1.67807,0.0325839
illegal,1,0.00970874,1.67807,0.016292
illicit,1,0.00970874,1.67807,0.016292
immediately,1,0.00970874,1.67807,0.016292
important,1,0.00970874,3,0.0291262
increased,1,0.00970874,3,0.0291262
irrigation,1,0.00970874,1.67807,0.016292
livelihoods,1,0.00970874,1.41504,0.0137382
local,2,0.0194175,1.41504,0.0274765
made,1,0.00970874,1.67807,0.016292
marma,1,0.00970874,1.67807,0.016292
middle,1,0.00970874,3,0.0291262
military-industrial,1,0.00970874,3,0.0291262
miners,1,0.00970874,1.67807,0.016292
mining,1,0.00970874,1.67807,0.016292
obvious,1,0.00970874,1.67807,0.016292
officials,1,0.00970874,1.67807,0.016292
people,2,0.0194175,1.67807,0.0325839
peril,1,0.00970874,1.67807,0.016292
pervasive,1,0.00970874,3,0.0291262
place,2,0.0194175,1.67807,0.0325839
powers,1,0.00970874,3,0.0291262
practice,1,0.00970874,1.67807,0.016292
public,1,0.00970874,1.67807,0.016292
put,2,0.0194175,1.67807,0.0325839
relentless,1,0.00970874,1.67807,0.016292
removal,1,0.00970874,1.67807,0.016292
river,1,0.00970874,1.67807,0.016292
road,1,0.00970874,1.41504,0.0137382
running,1,0.00970874,3,0.0291262
sangu,1,0.00970874,1.67807,0.016292
sanitation,1,0.00970874,1.67807,0.016292
state,1,0.00970874,3,0.0291262
stone,2,0.0194175,1.67807,0.0325839
stones,2,0.0194175,1.67807,0.0325839
stop,1,0.00970874,1.67807,0.016292
streambeds,2,0.0194175,1.67807,0.0325839
streams,2,0.0194175,1.67807,0.0325839
strong,1,0.00970874,3,0.0291262
student,1,0.00970874,1.67807,0.016292
survey,1,0.00970874,1.67807,0.016292
survival,1,0.00970874,1.67807,0.016292
tacit,1,0.00970874,1.67807,0.016292
taking,1,0.00970874,1.67807,0.016292
tracts,1,0.00970874,1.67807,0.016292
tributaries,1,0.00970874,1.67807,0.016292
ultimately,1,0.00970874,1.67807,0.016292
understand,1,0.00970874,1.41504,0.0137382
understood,1,0.00970874,1.67807,0.016292
upazilas,1,0.00970874,1.67807,0.016292
warned,1,0.00970874,3,0.0291262
ways,1,0.00970874,3,0.0291262
File5
admit,1,0.0285714,3,0.0857143
analyze,1,0.0285714,3,0.0857143
break—her,1,0.0285714,4,0.114286
change,1,0.0285714,3,0.0857143
day,1,0.0285714,3,0.0857143
expect,1,0.0285714,1.19265,0.0340756
give,3,0.0857143,3,0.257143
happy,1,0.0285714,3,0.0857143
heart,1,0.0285714,3,0.0857143
hold,1,0.0285714,3,0.0857143
human,1,0.0285714,3,0.0857143
hurt,1,0.0285714,3,0.0857143
laugh,1,0.0285714,3,0.0857143
love,1,0.0285714,3,0.0857143
loved,1,0.0285714,3,0.0857143
loves,1,0.0285714,3,0.0857143
mad,1,0.0285714,3,0.0857143
make,1,0.0285714,3,0.0857143
makes,2,0.0571429,3,0.171429
making,1,0.0285714,3,0.0857143
marley,1,0.0285714,3,0.0857143
matters,1,0.0285714,3,0.0857143
miss,1,0.0285714,3,0.0857143
mistakes,1,0.0285714,3,0.0857143
part,1,0.0285714,3,0.0857143
perfect,1,0.0285714,3,0.0857143
perfect-you,1,0.0285714,3,0.0857143
she's,2,0.0571429,3,0.171429
smile,1,0.0285714,3,0.0857143
thinking,1,0.0285714,3,0.0857143
﻿you,1,0.0285714,4,0.114286
File6
admit,1,0.0294118,3,0.0882353
analyze,1,0.0294118,3,0.0882353
break�her,1,0.0294118,4,0.117647
change,1,0.0294118,3,0.0882353
day,1,0.0294118,3,0.0882353
expect,1,0.0294118,1.19265,0.0350778
give,3,0.0882353,3,0.264706
happy,1,0.0294118,3,0.0882353
heart,1,0.0294118,3,0.0882353
hold,1,0.0294118,3,0.0882353
human,1,0.0294118,3,0.0882353
hurt,1,0.0294118,3,0.0882353
laugh,1,0.0294118,3,0.0882353
love,1,0.0294118,3,0.0882353
loved,1,0.0294118,3,0.0882353
loves,1,0.0294118,3,0.0882353
mad,1,0.0294118,3,0.0882353
make,1,0.0294118,3,0.0882353
makes,2,0.0588235,3,0.176471
making,1,0.0294118,3,0.0882353
marley,1,0.0294118,3,0.0882353
matters,1,0.0294118,3,0.0882353
miss,1,0.0294118,3,0.0882353
mistakes,1,0.0294118,3,0.0882353
part,1,0.0294118,3,0.0882353
perfect,1,0.0294118,3,0.0882353
perfect-you,1,0.0294118,3,0.0882353
she's,2,0.0588235,3,0.176471
smile,1,0.0294118,3,0.0882353
thinking,1,0.0294118,3,0.0882353
File7
12,1,0.00840336,1.67807,0.0141014
170km,1,0.00840336,2.41504,0.0202944
200,1,0.00840336,1.67807,0.0141014
activity,3,0.0252101,1.41504,0.0356732
administration,1,0.00840336,1.67807,0.0141014
administrations,1,0.00840336,2.41504,0.0202944
apparently,1,0.00840336,2.41504,0.0202944
approval,1,0.00840336,1.67807,0.0141014
bangladesh,1,0.00840336,1.67807,0.0141014
bigger,1,0.00840336,2.41504,0.0202944
biodiversity,1,0.00840336,1.41504,0.0118911
blind,1,0.00840336,2.41504,0.0202944
broken,1,0.00840336,2.41504,0.0202944
carry,1,0.00840336,2.41504,0.0202944
chittagong,1,0.00840336,1.67807,0.0141014
cohorts,1,0.00840336,1.67807,0.0141014
communities,2,0.0168067,1.67807,0.0282029
condition,1,0.00840336,2.41504,0.0202944
conducted,1,0.00840336,1.67807,0.0141014
construction,2,0.0168067,1.41504,0.0237821
corrupt,1,0.00840336,1.67807,0.0141014
cost,1,0.00840336,1.41504,0.0118911
council,1,0.00840336,1.67807,0.0141014
damaging,1,0.00840336,1.67807,0.0141014
depend,1,0.00840336,1.67807,0.0141014
dependent,1,0.00840336,1.67807,0.0141014
development,1,0.00840336,1.41504,0.0118911
drying,1,0.00840336,1.67807,0.0141014
effect,1,0.00840336,2.41504,0.0202944
effects,1,0.00840336,1.67807,0.0141014
eleven,1,0.00840336,1.67807,0.0141014
expect,1,0.00840336,1.19265,0.0100222
eye,1,0.00840336,2.41504,0.0202944
facilitating,1,0.00840336,1.67807,0.0141014
fall,1,0.00840336,2.41504,0.0202944
fed,1,0.00840336,2.41504,0.0202944
feed,1,0.00840336,1.67807,0.0141014
fishing,1,0.00840336,1.67807,0.0141014
flow,1,0.00840336,1.67807,0.0141014
giving,1,0.00840336,2.41504,0.0202944
hill,2,0.0168067,1.67807,0.0282029
hills,1,0.00840336,2.41504,0.0202944
ignoring,1,0.00840336,2.41504,0.0202944
illegal,1,0.00840336,1.67807,0.0141014
illicit,1,0.00840336,1.67807,0.0141014
immediately,1,0.00840336,1.67807,0.0141014
irrigation,1,0.00840336,1.67807,0.0141014
jurisdiction,1,0.00840336,2.41504,0.0202944
law,1,0.00840336,2.41504,0.0202944
lines,1,0.00840336,2.41504,0.0202944
livelihoods,1,0.00840336,1.41504,0.0118911
local,2,0.0168067,1.41504,0.0237821
long,1,0.00840336,2.41504,0.0202944
made,1,0.00840336,1.67807,0.0141014
marma,1,0.00840336,1.67807,0.0141014
miners,1,0.00840336,1.67807,0.0141014
mining,2,0.0168067,1.67807,0.0282029
obvious,1,0.00840336,1.67807,0.0141014
officials,1,0.00840336,1.67807,0.0141014
people,2,0.0168067,1.67807,0.0282029
peril,1,0.00840336,1.67807,0.0141014
place,2,0.0168067,1.67807,0.0282029
practice,1,0.00840336,1.67807,0.0141014
problem,1,0.00840336,2.41504,0.0202944
public,1,0.00840336,1.67807,0.0141014
put,2,0.0168067,1.67807,0.0282029
rampant,1,0.00840336,2.41504,0.0202944
relentless,1,0.00840336,1.67807,0.0141014
removal,1,0.00840336,1.67807,0.0141014
rise,1,0.00840336,2.41504,0.0202944
river,2,0.0168067,1.67807,0.0282029
road,2,0.0168067,1.41504,0.0237821
sangu,2,0.0168067,1.67807,0.0282029
sanitation,1,0.00840336,1.67807,0.0141014
situation,1,0.00840336,2.41504,0.0202944
stone,3,0.0252101,1.67807,0.0423043
stones,3,0.0252101,1.67807,0.0423043
stop,1,0.00840336,1.67807,0.0141014
streambeds,2,0.0168067,1.67807,0.0282029
streams,4,0.0336134,1.67807,0.0564058
stretch,1,0.00840336,2.41504,0.0202944
student,1,0.00840336,1.67807,0.0141014
survey,1,0.00840336,1.67807,0.0141014
survival,1,0.00840336,1.67807,0.0141014
tacit,1,0.00840336,1.67807,0.0141014
taking,1,0.00840336,1.67807,0.0141014
thanchi,1,0.00840336,2.41504,0.0202944
tracts,1,0.00840336,1.67807,0.0141014
tributaries,1,0.00840336,1.67807,0.0141014
trucks,1,0.00840336,2.41504,0.0202944
turn,1,0.00840336,2.41504,0.0202944
ultimately,1,0.00840336,1.67807,0.0141014
understand,1,0.00840336,1.41504,0.0118911
understood,1,0.00840336,1.67807,0.0141014
upazila,2,0.0168067,2.41504,0.0405889
upazilas,1,0.00840336,1.67807,0.0141014
violation,1,0.00840336,2.41504,0.0202944
File8
12,1,0.00840336,1.67807,0.0141014
170km,1,0.00840336,2.41504,0.0202944
200,1,0.00840336,1.67807,0.0141014
activity,3,0.0252101,1.41504,0.0356732
administration,1,0.00840336,1.67807,0.0141014
administrations,1,0.00840336,2.41504,0.0202944
apparently,1,0.00840336,2.41504,0.0202944
approval,1,0.00840336,1.67807,0.0141014
bangladesh,1,0.00840336,1.67807,0.0141014
bigger,1,0.00840336,2.41504,0.0202944
biodiversity,1,0.00840336,1.41504,0.0118911
blind,1,0.00840336,2.41504,0.0202944
broken,1,0.00840336,2.41504,0.0202944
carry,1,0.00840336,2.41504,0.0202944
chittagong,1,0.00840336,1.67807,0.0141014
cohorts,1,0.00840336,1.67807,0.0141014
communities,2,0.0168067,1.67807,0.0282029
condition,1,0.00840336,2.41504,0.0202944
conducted,1,0.00840336,1.67807,0.0141014
construction,2,0.0168067,1.41504,0.0237821
corrupt,1,0.00840336,1.67807,0.0141014
cost,1,0.00840336,1.41504,0.0118911
council,1,0.00840336,1.67807,0.0141014
damaging,1,0.00840336,1.67807,0.0141014
depend,1,0.00840336,1.67807,0.0141014
dependent,1,0.00840336,1.67807,0.0141014
development,1,0.00840336,1.41504,0.0118911
drying,1,0.00840336,1.67807,0.0141014
effect,1,0.00840336,2.41504,0.0202944
effects,1,0.00840336,1.67807,0.0141014
eleven,1,0.00840336,1.67807,0.0141014
expect,1,0.00840336,1.19265,0.0100222
eye,1,0.00840336,2.41504,0.0202944
facilitating,1,0.00840336,1.67807,0.0141014
fall,1,0.00840336,2.41504,0.0202944
fed,1,0.00840336,2.41504,0.0202944
feed,1,0.00840336,1.67807,0.0141014
fishing,1,0.00840336,1.67807,0.0141014
flow,1,0.00840336,1.67807,0.0141014
giving,1,0.00840336,2.41504,0.0202944
hill,2,0.0168067,1.67807,0.0282029
hills,1,0.00840336,2.41504,0.0202944
ignoring,1,0.00840336,2.41504,0.0202944
illegal,1,0.00840336,1.67807,0.0141014
illicit,1,0.00840336,1.67807,0.0141014
immediately,1,0.00840336,1.67807,0.0141014
irrigation,1,0.00840336,1.67807,0.0141014
jurisdiction,1,0.00840336,2.41504,0.0202944
law,1,0.00840336,2.41504,0.0202944
lines,1,0.00840336,2.41504,0.0202944
livelihoods,1,0.00840336,1.41504,0.0118911
local,2,0.0168067,1.41504,0.0237821
long,1,0.00840336,2.41504,0.0202944
made,1,0.00840336,1.67807,0.0141014
marma,1,0.00840336,1.67807,0.0141014
miners,1,0.00840336,1.67807,0.0141014
mining,2,0.0168067,1.67807,0.0282029
obvious,1,0.00840336,1.67807,0.0141014
officials,1,0.00840336,1.67807,0.0141014
people,2,0.0168067,1.67807,0.0282029
peril,1,0.00840336,1.67807,0.0141014
place,2,0.0168067,1.67807,0.0282029
practice,1,0.00840336,1.67807,0.0141014
problem,1,0.00840336,2.41504,0.0202944
public,1,0.00840336,1.67807,0.0141014
put,2,0.0168067,1.67807,0.0282029
rampant,1,0.00840336,2.41504,0.0202944
relentless,1,0.00840336,1.67807,0.0141014
removal,1,0.00840336,1.67807,0.0141014
rise,1,0.00840336,2.41504,0.0202944
river,2,0.0168067,1.67807,0.0282029
road,2,0.0168067,1.41504,0.0237821
sangu,2,0.0168067,1.67807,0.0282029
sanitation,1,0.00840336,1.67807,0.0141014
situation,1,0.00840336,2.41504,0.0202944
stone,3,0.0252101,1.67807,0.0423043
stones,3,0.0252101,1.67807,0.0423043
stop,1,0.00840336,1.67807,0.0141014
streambeds,2,0.0168067,1.67807,0.0282029
streams,4,0.0336134,1.67807,0.0564058
stretch,1,0.00840336,2.41504,0.0202944
student,1,0.00840336,1.67807,0.0141014
survey,1,0.00840336,1.67807,0.0141014
survival,1,0.00840336,1.67807,0.0141014
tacit,1,0.00840336,1.67807,0.0141014
taking,1,0.00840336,1.67807,0.0141014
thanchi,1,0.00840336,2.41504,0.0202944
tracts,1,0.00840336,1.67807,0.0141014
tributaries,1,0.00840336,1.67807,0.0141014
trucks,1,0.00840336,2.41504,0.0202944
turn,1,0.00840336,2.41504,0.0202944
ultimately,1,0.00840336,1.67807,0.0141014
understand,1,0.00840336,1.41504,0.0118911
understood,1,0.00840336,1.67807,0.0141014
upazila,2,0.0168067,2.41504,0.0405889
upazilas,1,0.00840336,1.67807,0.0141014
violation,1,0.00840336,2.41504,0.0202944
