Term,count,Term Frequency,IDF,Score
esoteric,1,0.0135135,1.60944,0.0217492
exceptional,1,0.0135135,1.60944,0.0217492
express,1,0.0135135,1.60944,0.0217492
families,1,0.0135135,1.60944,0.0217492
figure,1,0.0135135,0,0
file,3,0.0405405,0,0
files,4,0.0540541,0.223144,0.0113849
fixed-width,1,0.0135135,0.916291,0.0123823
flat,1,0.0135135,0.510826,0.0236493
format,2,0.027027,0.223144,0.00683093
formats,4,0.0540541,0.916291,0.0186998
humans,2,0.027027,0.916291,0.00934991
inefficiency,1,0.0135135,1.60944,0.0217492
integrity,1,0.0135135,1.60944,0.0217492
interface,1,0.0135135,1.60944,0.0217492
internationalization,1,0.0135135,1.60944,0.0217492
keyboard,1,0.0135135,1.60944,0.0217492
lack,2,0.027027,1.60944,0.0434983
large,1,0.0135135,1.60944,0.0217492
lead,1,0.0135135,1.60944,0.0217492
low-level,1,0.0135135,1.60944,0.0217492
main,2,0.027027,0.510826,0.00472987
massive,1,0.0135135,1.60944,0.0217492
measures,1,0.0135135,0.916291,0.00916291
modify,1,0.0135135,0.916291,0.00916291
packages,1,0.0135135,1.60944,0.0217492
people,3,0.0405405,1.60944,0.0652475
piece,1,0.0135135,0.916291,0.00848417
plain,4,0.0540541,0.223144,0.00455395
platforms,1,0.0135135,1.60944,0.0217492
portable,1,0.0135135,1.60944,0.0217492
read,5,0.0675676,0.916291,0.0186998
read/write,2,0.027027,1.60944,0.0434983
redundancy,1,0.0135135,1.60944,0.0217492
regular,1,0.0135135,1.60944,0.0217492
repetition,1,0.0135135,0.916291,0.00848417
require,1,0.0135135,1.60944,0.0217492
requires,1,0.0135135,1.60944,0.0217492
set,1,0.0135135,0.223144,0.00446287
sets,2,0.027027,1.60944,0.0434983
shown,1,0.0135135,0.916291,0.0123823
simplicity,2,0.027027,1.60944,0.0434983
skills,1,0.0135135,0.916291,0.00934991
software,5,0.0675676,0.916291,0.0186998
space,1,0.0135135,0.916291,0.0123823
speed,1,0.0135135,1.60944,0.0217492
standard,2,0.027027,0.916291,0.00848417
standards,1,0.0135135,1.60944,0.0217492
statistics,1,0.0135135,1.60944,0.0217492
store,1,0.0135135,0.916291,0.0123823
text,11,0.148649,0.223144,0.00683093
type,1,0.0135135,0.916291,0.00848417
values,2,0.027027,0.916291,0.0247646
view,1,0.0135135,0.510826,0.00472987
virtually,1,0.0135135,1.60944,0.0217492
write,2,0.027027,1.60944,0.0434983
“non-rectangular”,1,0.0135135,1.60944,0.0217492
“special,1,0.0135135,1.60944,0.0217492
7,2,0.0185185,0,0
`,1,0.00925926,0.916291,0.00848417
`""',1,0.00925926,1.60944,0.0149022
`"',1,0.00925926,1.60944,0.0149022
arguably,1,0.00925926,1.60944,0.0149022
case,1,0.00925926,0.916291,0.00848417
character,2,0.0185185,0.916291,0.0169683
children,1,0.00925926,1.60944,0.0149022
comma,1,0.00925926,1.60944,0.0149022
comma-separated,1,0.00925926,1.60944,0.0149022
commas,1,0.00925926,1.60944,0.0149022
common,2,0.0185185,1.60944,0.0298044
complex,1,0.00925926,0.916291,0.00848417
copies,1,0.00925926,1.60944,0.0149022
copy,1,0.00925926,1.60944,0.0149022
creates,1,0.00925926,1.60944,0.0149022
creep,1,0.00925926,1.60944,0.0149022
csv,2,0.0185185,1.60944,0.0298044
data,10,0.0925926,0,0
definite,1,0.00925926,1.60944,0.0149022
delimited,1,0.00925926,0.916291,0.00848417
delimiter,1,0.00925926,0.916291,0.00848417
design,1,0.00925926,1.60944,0.0149022
disagree,1,0.00925926,1.60944,0.0149022
discuss,1,0.00925926,1.60944,0.0149022
double,6,0.0555556,1.60944,0.0894132
efficient,1,0.00925926,1.60944,0.0149022
embedded,1,0.00925926,1.60944,0.0149022
errors,1,0.00925926,1.60944,0.0149022
escape,1,0.00925926,0.916291,0.00848417
exists,1,0.00925926,1.60944,0.0149022
export,1,0.00925926,1.60944,0.0149022
family,1,0.00925926,1.60944,0.0149022
field,1,0.00925926,0.916291,0.00848417
fields,3,0.0277778,0.916291,0.0254525
figure,1,0.00925926,0,0
file,4,0.037037,0,0
files,1,0.00925926,0.223144,0.0113849
firstly,1,0.00925926,1.60944,0.0149022
flat,5,0.0462963,0.510826,0.0236493
formal,1,0.00925926,1.60944,0.0149022
format,5,0.0462963,0.223144,0.00683093
fundamental,1,0.00925926,0.916291,0.00934991
header,1,0.00925926,0.916291,0.00848417
hierarchical,2,0.0185185,1.60944,0.0298044
idea,1,0.00925926,1.60944,0.0149022
ideal,1,0.00925926,1.60944,0.0149022
ideally,1,0.00925926,1.60944,0.0149022
important,1,0.00925926,0.916291,0.00934991
inconsistencies,1,0.00925926,1.60944,0.0149022
individual,1,0.00925926,1.60944,0.0149022
information,4,0.037037,0.510826,0.0364875
line,2,0.0185185,0.510826,0.010425
literal,1,0.00925926,1.60944,0.0149022
main,1,0.00925926,0.510826,0.00472987
means,1,0.00925926,0.916291,0.00934991
members,1,0.00925926,1.60944,0.0149022
models”,1,0.00925926,1.60944,0.0149022
multi-level,1,0.00925926,1.60944,0.0149022
names,1,0.00925926,0.510826,0.00510826
non-trivial,1,0.00925926,1.60944,0.0149022
object,2,0.0185185,1.60944,0.0298044
objects,1,0.00925926,1.60944,0.0149022
obtained,1,0.00925926,0.916291,0.00916291
obvious,2,0.0185185,1.60944,0.0298044
opportunities,1,0.00925926,1.60944,0.0149022
parent,1,0.00925926,1.60944,0.0149022
parents,1,0.00925926,1.60944,0.0149022
piece,1,0.00925926,0.916291,0.00848417
plain,1,0.00925926,0.223144,0.00455395
problem,1,0.00925926,0.510826,0.00510826
provide,1,0.00925926,0.916291,0.0186998
put,1,0.00925926,1.60944,0.0149022
quote,2,0.0185185,1.60944,0.0298044
quotes,4,0.037037,1.60944,0.0596088
reasons,1,0.00925926,1.60944,0.0149022
record,1,0.00925926,0.916291,0.00848417
relationship,1,0.00925926,1.60944,0.0149022
reliable,1,0.00925926,1.60944,0.0149022
repeated,1,0.00925926,1.60944,0.0149022
repetition,1,0.00925926,0.916291,0.00848417
representation,1,0.00925926,1.60944,0.0149022
represented,1,0.00925926,1.60944,0.0149022
rules,1,0.00925926,1.60944,0.0149022
section,2,0.0185185,0.510826,0.00521251
separated,1,0.00925926,0.916291,0.00848417
sequence,1,0.00925926,1.60944,0.0149022
set,6,0.0555556,0.223144,0.00446287
single,1,0.00925926,0.916291,0.00934991
sophisticated,1,0.00925926,1.60944,0.0149022
special,1,0.00925926,0.510826,0.00521251
spreadsheet,1,0.00925926,1.60944,0.0149022
standard,1,0.00925926,0.916291,0.00848417
stored,1,0.00925926,0.510826,0.010425
storing,1,0.00925926,0.916291,0.00916291
stratified,1,0.00925926,1.60944,0.0149022
structure,5,0.0462963,1.60944,0.074511
study,1,0.00925926,1.60944,0.0149022
surrounded,2,0.0185185,1.60944,0.0298044
text,1,0.00925926,0.223144,0.00683093
type,1,0.00925926,0.916291,0.00848417
types,1,0.00925926,1.60944,0.0149022
unable,1,0.00925926,1.60944,0.0149022
undesirable,1,0.00925926,1.60944,0.0149022
view,1,0.00925926,0.510826,0.00472987
words,1,0.00925926,1.60944,0.0149022
works,1,0.00925926,1.60944,0.0149022
“data,1,0.00925926,1.60944,0.0149022
1,2,0.02,0.916291,0.00934991
1995,1,0.01,1.60944,0.0160944
2000,1,0.01,1.60944,0.0160944
2006,1,0.01,1.60944,0.0160944
24,2,0.02,1.60944,0.0321888
505,1,0.01,1.60944,0.0160944
7,2,0.02,0,0
72,1,0.01,1.60944,0.0160944
access,2,0.02,0.916291,0.0183258
air,2,0.02,1.60944,0.0321888
america,1,0.01,1.60944,0.0160944
american,1,0.01,1.60944,0.0160944
analysis,1,0.01,1.60944,0.0160944
annual,1,0.01,1.60944,0.0160944
asa,1,0.01,1.60944,0.0160944
association,1,0.01,1.60944,0.0160944
atmospheric,2,0.02,1.60944,0.0321888
averages,1,0.01,1.60944,0.0160944
called,1,0.01,1.60944,0.0160944
central,1,0.01,1.60944,0.0160944
challenge,1,0.01,1.60944,0.0160944
choosing,1,0.01,1.60944,0.0160944
cloud,1,0.01,1.60944,0.0160944
coarse,1,0.01,1.60944,0.0160944
comprehensive,1,0.01,1.60944,0.0160944
conference,2,0.02,1.60944,0.0321888
confusion,1,0.01,1.60944,0.0160944
contents,3,0.03,1.60944,0.0482831
contestants,1,0.01,1.60944,0.0160944
cover,1,0.01,1.60944,0.0160944
covering,1,0.01,1.60944,0.0160944
data,8,0.08,0,0
december,1,0.01,1.60944,0.0160944
demonstrating,1,0.01,1.60944,0.0160944
describe,1,0.01,1.60944,0.0160944
difficult,2,0.02,0.916291,0.0183258
directory,3,0.03,0.916291,0.0186998
distinguish,1,0.01,1.60944,0.0160944
documentation,1,0.01,0.916291,0.00934991
downloaded,1,0.01,1.60944,0.0160944
elevation,3,0.03,1.60944,0.0482831
evenly-spaced,1,0.01,1.60944,0.0160944
events,1,0.01,1.60944,0.0160944
exception,1,0.01,1.60944,0.0160944
expo,1,0.01,1.60944,0.0160944
exposition,1,0.01,1.60944,0.0160944
figure,2,0.02,0,0
file,6,0.06,0,0
files,11,0.11,0.223144,0.0113849
find,1,0.01,0.916291,0.0186998
form,1,0.01,1.60944,0.0160944
geographic,2,0.02,0.916291,0.00934991
grid,1,0.01,1.60944,0.0160944
held,1,0.01,1.60944,0.0160944
high,1,0.01,1.60944,0.0160944
holds,1,0.01,1.60944,0.0160944
january,1,0.01,1.60944,0.0160944
joint,1,0.01,1.60944,0.0160944
jsm,2,0.02,1.60944,0.0321888
live,2,0.02,1.60944,0.0321888
locations,1,0.01,1.60944,0.0160944
low,1,0.01,1.60944,0.0160944
make,2,0.02,1.60944,0.0321888
measured,1,0.01,1.60944,0.0160944
measures,1,0.01,0.916291,0.00916291
meetings,1,0.01,1.60944,0.0160944
mid,1,0.01,1.60944,0.0160944
modify,1,0.01,0.916291,0.00916291
month,1,0.01,0.916291,0.00934991
monthly,1,0.01,1.60944,0.0160944
names,1,0.01,0.510826,0.00510826
nasa's,1,0.01,1.60944,0.0160944
number,1,0.01,0.510826,0.00521251
observations,1,0.01,1.60944,0.0160944
obtained,1,0.01,0.916291,0.00916291
ozone,1,0.01,1.60944,0.0160944
place,1,0.01,1.60944,0.0160944
poster,1,0.01,1.60944,0.0160944
presents,1,0.01,1.60944,0.0160944
pressure,1,0.01,1.60944,0.0160944
problem,1,0.01,0.510826,0.00510826
produce,1,0.01,1.60944,0.0160944
produced,1,0.01,1.60944,0.0160944
provided,1,0.01,1.60944,0.0160944
remove,1,0.01,1.60944,0.0160944
section,1,0.01,0.510826,0.00521251
separate,1,0.01,1.60944,0.0160944
server,2,0.02,1.60944,0.0321888
set,2,0.02,0.223144,0.00446287
shows,1,0.01,0.916291,0.00934991
start,1,0.01,0.916291,0.00916291
statistical,2,0.02,1.60944,0.0321888
storage,1,0.01,1.60944,0.0160944
storing,1,0.01,0.916291,0.00916291
surface,2,0.02,0.916291,0.00934991
temperature,2,0.02,0.916291,0.00934991
thing,1,0.01,0.916291,0.00934991
total,1,0.01,1.60944,0.0160944
variable,2,0.02,0.916291,0.0183258
variables,2,0.02,0.916291,0.0183258
1,1,0.0102041,0.916291,0.00934991
2,1,0.0102041,0.916291,0.00934991
48,1,0.0102041,1.60944,0.0164228
7,1,0.0102041,0,0
</latitude>,1,0.0102041,1.60944,0.0164228
<latitude>,1,0.0102041,1.60944,0.0164228
actual,1,0.0102041,1.60944,0.0164228
advantage,2,0.0204082,0.916291,0.0186998
alphabetically,1,0.0102041,1.60944,0.0164228
attributes,1,0.0102041,1.60944,0.0164228
beneficial,1,0.0102041,1.60944,0.0164228
browse,1,0.0102041,1.60944,0.0164228
chapter,1,0.0102041,1.60944,0.0164228
clear,1,0.0102041,1.60944,0.0164228
combination,1,0.0102041,1.60944,0.0164228
computer,1,0.0102041,0.916291,0.00934991
consists,1,0.0102041,0.916291,0.00934991
constitutes,1,0.0102041,1.60944,0.0164228
content,1,0.0102041,1.60944,0.0164228
data,5,0.0510204,0,0
date,2,0.0204082,1.60944,0.0328457
day,1,0.0102041,1.60944,0.0164228
determine,2,0.0204082,1.60944,0.0328457
directory,2,0.0204082,0.916291,0.0186998
document,4,0.0408163,1.60944,0.0656913
documentation,1,0.0102041,0.916291,0.00934991
documents,1,0.0102041,1.60944,0.0164228
easily,1,0.0102041,1.60944,0.0164228
easy,2,0.0204082,0.916291,0.0186998
element,1,0.0102041,1.60944,0.0164228
elements,1,0.0102041,1.60944,0.0164228
ensures,1,0.0102041,1.60944,0.0164228
essentially,1,0.0102041,1.60944,0.0164228
fact,1,0.0102041,1.60944,0.0164228
familiar,1,0.0102041,1.60944,0.0164228
figure,1,0.0102041,0,0
file,6,0.0612245,0,0
files,5,0.0510204,0.223144,0.0113849
find,2,0.0204082,0.916291,0.0186998
format,3,0.0306122,0.223144,0.00683093
formats,2,0.0204082,0.916291,0.0186998
fundamental,1,0.0102041,0.916291,0.00934991
geographic,1,0.0102041,0.916291,0.00934991
grouped,1,0.0102041,1.60944,0.0164228
html,1,0.0102041,1.60944,0.0164228
huge,1,0.0102041,1.60944,0.0164228
human,2,0.0204082,1.60944,0.0328457
humans,1,0.0102041,0.916291,0.00934991
important,1,0.0102041,0.916291,0.00934991
inaccessibility,1,0.0102041,1.60944,0.0164228
information,7,0.0714286,0.510826,0.0364875
intervention,1,0.0102041,1.60944,0.0164228
latitude,3,0.0306122,1.60944,0.0492685
level,1,0.0102041,1.60944,0.0164228
line,2,0.0204082,0.510826,0.010425
list,1,0.0102041,1.60944,0.0164228
listings,1,0.0102041,1.60944,0.0164228
location,1,0.0102041,1.60944,0.0164228
makes,2,0.0204082,1.60944,0.0328457
manipulate,1,0.0102041,1.60944,0.0164228
mark,1,0.0102041,1.60944,0.0164228
means,1,0.0102041,0.916291,0.00934991
month,1,0.0102041,0.916291,0.00934991
north-south,1,0.0102041,1.60944,0.0164228
notions,1,0.0102041,1.60944,0.0164228
number,1,0.0102041,0.510826,0.00521251
ordered,2,0.0204082,1.60944,0.0328457
original,1,0.0102041,1.60944,0.0164228
pacific,1,0.0102041,1.60944,0.0164228
parts,1,0.0102041,1.60944,0.0164228
perspective,1,0.0102041,1.60944,0.0164228
plain,2,0.0204082,0.223144,0.00455395
pole,1,0.0102041,1.60944,0.0164228
property,1,0.0102041,1.60944,0.0164228
provide,2,0.0204082,0.916291,0.0186998
read,2,0.0204082,0.916291,0.0186998
reader,1,0.0102041,1.60944,0.0164228
recorded,1,0.0102041,1.60944,0.0164228
section,1,0.0102041,0.510826,0.00521251
self-describing,1,0.0102041,1.60944,0.0164228
sensibly,1,0.0102041,1.60944,0.0164228
shows,1,0.0102041,0.916291,0.00934991
similarity,1,0.0102041,1.60944,0.0164228
single,1,0.0102041,0.916291,0.00934991
skills,1,0.0102041,0.916291,0.00934991
software,2,0.0204082,0.916291,0.0186998
special,1,0.0102041,0.510826,0.00521251
specialized,1,0.0102041,1.60944,0.0164228
stored,2,0.0204082,0.510826,0.010425
surface,1,0.0102041,0.916291,0.00934991
surrounding,1,0.0102041,1.60944,0.0164228
tags,4,0.0408163,1.60944,0.0656913
temperature,1,0.0102041,0.916291,0.00934991
text,3,0.0306122,0.223144,0.00683093
thing,1,0.0102041,0.916291,0.00934991
true,2,0.0204082,1.60944,0.0328457
xml,10,0.102041,1.60944,0.164228
year,1,0.0102041,1.60944,0.0164228
